X,Y,LED1,LED2,LED3,LED4
3.7563,3.7123,0.00011199,1.64E-05,0.00013298,0.033545
1.2755,3.7894,0.00032927,0.001287,3.99E-05,0.00052295
2.5298,1.9456,0.00089958,1.87E-05,0.00036008,0.00059839
3.4954,2.1465,0.000333,1.11E-05,0.00075171,0.0011977
4.4545,4.7817,1.99E-05,7.98E-06,4.84E-05,0.0057744
4.7965,2.8649,8.07E-05,5.31E-06,0.00026267,0.0023478
2.7361,4.2486,0.00013805,4.81E-05,6.30E-05,0.0028745
0.69312,1.3817,0.01329,1.86E-05,7.57E-05,0.00011428
0.74647,3.1116,0.00064649,0.00018408,4.15E-05,0.00028358
1.2875,2.9418,0.00077515,0.0001294,6.96E-05,0.00042659
4.2036,4.8173,2.70E-05,9.85E-06,4.80E-05,0.0068975
1.2714,0.42951,0.0081099,7.83E-06,0.0001238,8.24E-05
4.0714,2.5025,0.00017772,8.59E-06,0.00052717,0.0021001
1.2176,2.6079,0.0011829,7.72E-05,7.91E-05,0.00034892
4.6463,0.45083,0.00014633,1.02E-06,0.0016448,0.00023144
1.7499,4.5233,0.00015696,0.00018132,3.02E-05,0.00078377
0.98298,4.4219,0.00018795,0.00091502,1.85E-05,0.00038869
1.2554,2.1949,0.0021505,4.42E-05,9.89E-05,0.00029177
3.0802,3.9086,0.00014977,3.29E-05,9.54E-05,0.0057675
2.3664,0.74233,0.0016411,7.80E-06,0.00042678,0.00021214
1.7583,3.0991,0.00056325,0.00010682,8.86E-05,0.00068879
4.1541,1.3031,0.00023545,4.04E-06,0.010631,0.00053925
2.9263,2.2283,0.00051781,1.76E-05,0.00041535,0.00097246
2.7486,4.22,0.00014041,4.77E-05,6.49E-05,0.0029641
4.586,0.98102,0.00016201,2.10E-06,0.0036931,0.00037638
1.4292,1.5193,0.0069722,2.08E-05,0.00014511,0.0002194
3.786,2.4165,0.00023227,1.03E-05,0.00058226,0.0018225
3.7686,1.6891,0.00030962,6.97E-06,0.0023359,0.00078275
1.9022,3.9924,0.00023917,0.00019665,5.15E-05,0.00099729
2.8391,4.9374,7.14E-05,3.21E-05,3.51E-05,0.0019979
0.37927,0.79524,0.0076826,1.03E-05,5.78E-05,4.94E-05
0.26975,1.1844,0.0058065,1.42E-05,5.22E-05,6.45E-05
2.654,3.5112,0.00025522,4.92E-05,0.00011193,0.0022568
3.8958,1.8774,0.00026198,7.11E-06,0.0015987,0.00096708
4.6701,4.8685,1.04E-05,6.44E-06,4.29E-05,0.0038332
0.64953,4.8615,0.00012332,0.00017925,6.62E-06,0.00026248
2.8441,3.2185,0.00028345,3.47E-05,0.00015726,0.0023203
2.347,4.3005,0.00015734,8.03E-05,5.09E-05,0.0016278
0.05951,2.0094,0.0015816,2.77E-05,3.67E-05,9.50E-05
1.6856,3.1597,0.00054634,0.00012689,8.11E-05,0.00066061
0.81091,4.9262,0.00011756,0.00017698,7.68E-06,0.00029659
3.9714,2.7974,0.00016665,1.06E-05,0.0003574,0.0033494
1.5561,4.668,0.00014331,0.00020027,2.31E-05,0.00062242
2.6427,3.6017,0.00023971,5.18E-05,0.00010341,0.0023346
0.82824,2.4202,0.0015526,5.99E-05,6.30E-05,0.00023348
3.0099,3.1952,0.0002596,2.91E-05,0.0001742,0.0027889
1.3149,4.4382,0.00018225,0.00052956,2.41E-05,0.00052566
3.2704,0.99368,0.00055705,6.00E-06,0.0023709,0.00036786
3.4461,1.9768,0.00037371,1.04E-05,0.00093415,0.00097921
3.7408,4.9609,3.68E-05,1.40E-05,4.16E-05,0.0048866
2.2527,2.0118,0.0011366,2.34E-05,0.00026125,0.00052789
0.41911,3.2943,0.00049609,0.00018064,2.78E-05,0.00022208
1.1449,4.5067,0.00017351,0.00057584,1.96E-05,0.00044351
4.5667,4.9769,1.01E-05,6.86E-06,3.94E-05,0.0036464
0.76189,3.2658,0.00055073,0.0002648,3.83E-05,0.00029953
4.1291,0.54218,0.00023583,2.17E-06,0.0055381,0.00026818
2.6917,0.18057,0.0008246,4.15E-06,0.00047347,0.00014881
4.9807,3.0905,5.91E-05,4.78E-06,0.00019255,0.0025187
0.39088,2.8357,0.00078661,8.63E-05,3.55E-05,0.00019009
2.2134,4.8098,0.000106,6.84E-05,3.02E-05,0.0011187
0.53326,3.7305,0.0003376,0.00053534,2.26E-05,0.00026357
4.8095,3.3126,6.10E-05,5.92E-06,0.00016904,0.0040911
0.023171,2.6166,0.00080691,4.93E-05,2.79E-05,0.00012414
3.8746,1.2995,0.00030354,5.00E-06,0.011765,0.00053833
4.0865,4.81,3.13E-05,1.09E-05,4.86E-05,0.0074678
4.3435,2.701,0.00012994,7.45E-06,0.00038248,0.0026124
0.42218,0.15135,0.0029606,5.83E-06,5.40E-05,1.79E-05
1.9989,3.4816,0.00035902,0.00011953,7.96E-05,0.0010146
1.2994,2.5986,0.0011723,7.41E-05,8.47E-05,0.00037105
4.0003,0.29515,0.00025116,1.87E-06,0.0025435,0.00021423
2.1571,4.4502,0.00014872,9.86E-05,4.08E-05,0.0012357
4.5532,1.651,0.00015614,3.65E-06,0.0016204,0.000705
0.90924,1.1485,0.10692,1.52E-05,9.42E-05,0.00011521
1.319,0.56974,0.01112,8.85E-06,0.00013329,9.78E-05
0.72769,1.5546,0.0084717,2.21E-05,7.60E-05,0.00013254
0.68034,1.1422,0.026757,1.48E-05,7.65E-05,9.42E-05
4.3465,3.26,9.58E-05,8.87E-06,0.00020441,0.0071764
2.8985,0.3308,0.00071656,4.29E-06,0.00069745,0.00018393
2.7493,1.3772,0.00094796,1.07E-05,0.00069836,0.00042395
0.72477,1.4091,0.013183,1.92E-05,7.76E-05,0.00011971
4.2652,4.4003,4.19E-05,1.02E-05,7.04E-05,0.020763
3.1103,2.2217,0.00044423,1.54E-05,0.00049282,0.001079
1.7548,3.7796,0.00030101,0.00025583,5.53E-05,0.00083892
2.5662,3.0165,0.00039091,4.08E-05,0.00015912,0.0014382
2.009,3.9163,0.00024638,0.00015487,5.80E-05,0.0011215
0.37983,0.56965,0.00556,8.45E-06,5.65E-05,3.70E-05
1.1996,4.8928,0.00012126,0.00018896,1.32E-05,0.00041987
0.61659,4.243,0.00021535,0.00075377,1.54E-05,0.00028494
0.91954,0.25323,0.0059054,6.73E-06,8.64E-05,4.84E-05
1.1998,2.331,0.0017639,5.29E-05,8.90E-05,0.00030046
2.0863,1.6283,0.0019611,1.83E-05,0.0002699,0.00036089
0.24827,3.151,0.000537,0.00011548,2.59E-05,0.00018359
4.5136,1.1515,0.00017238,2.63E-06,0.0043562,0.00044557
4.7239,2.8994,8.47E-05,5.74E-06,0.00026262,0.0026248
2.4543,3.0158,0.00041924,4.56E-05,0.0001485,0.0012833
2.4463,2.9994,0.00042683,4.54E-05,0.00014963,0.0012584
1.6886,2.2421,0.0015117,3.98E-05,0.00013905,0.00041405
4.5003,0.17712,0.00015739,8.09E-07,0.0012806,0.00018451
1.8462,2.5691,0.00092331,5.18E-05,0.00013157,0.00056596
0.55601,2.0387,0.0024785,3.52E-05,5.76E-05,0.00015363
3.9013,0.54023,0.00028927,2.65E-06,0.0057036,0.000268
1.9487,2.2994,0.0011421,3.65E-05,0.0001676,0.00051953
1.2085,2.2544,0.001986,4.80E-05,9.27E-05,0.00029063
2.0196,2.7557,0.00068592,5.50E-05,0.00013315,0.00072817
0.48227,4.027,0.00025563,0.00060528,1.65E-05,0.00025456
0.65987,3.5043,0.0004275,0.00042625,3.00E-05,0.00028721
4.7103,4.3612,2.56E-05,6.83E-06,6.79E-05,0.0075264
4.7807,0.26096,0.00012474,5.20E-07,0.0010075,0.00018892
2.876,1.0984,0.00086008,8.13E-06,0.00096655,0.00035429
0.2989,2.2982,0.0013949,4.21E-05,4.17E-05,0.0001399
1.1739,4.7927,0.00013337,0.00024158,1.46E-05,0.00042374
1.7658,3.9502,0.00025826,0.00027344,4.90E-05,0.0008602
4.106,2.2594,0.0001915,7.44E-06,0.00076236,0.0015111
0.077017,1.6671,0.002382,2.04E-05,4.08E-05,7.72E-05
0.21512,0.29548,0.0027802,6.38E-06,4.62E-05,1.52E-05
0.84495,3.7045,0.00036047,0.0014104,3.04E-05,0.00034873
3.2456,2.534,0.0003342,1.68E-05,0.00038318,0.0016379
3.6586,0.99963,0.00037856,4.68E-06,0.010972,0.00039919
3.2387,2.136,0.0004163,1.33E-05,0.00061259,0.0010592
2.2546,0.84345,0.0020158,8.87E-06,0.00037737,0.00021817
2.735,3.7585,0.00020265,4.83E-05,9.49E-05,0.0028775
1.4816,1.8418,0.0033545,2.82E-05,0.00013831,0.00027998
3.7235,4.7091,4.98E-05,1.55E-05,5.29E-05,0.0083604
0.94478,0.085863,0.0039464,5.76E-06,8.42E-05,3.93E-05
3.4339,4.1453,0.00010102,2.26E-05,8.50E-05,0.014483
0.91756,3.133,0.00064338,0.00021093,4.70E-05,0.00033119
1.8424,2.6937,0.00081186,5.97E-05,0.0001216,0.00060557
3.1281,3.2525,0.00023146,2.65E-05,0.00017427,0.0034752
3.9011,3.6331,0.00010657,1.42E-05,0.00014505,0.034441
0.40563,0.47244,0.0049751,7.79E-06,5.70E-05,3.32E-05
4.6469,4.3879,2.71E-05,7.22E-06,6.73E-05,0.0083555
3.8786,0.071811,0.00026157,1.60E-06,0.0014188,0.00017301
2.434,1.4715,0.0013575,1.36E-05,0.00043119,0.00039137
2.1793,0.89957,0.0023196,9.57E-06,0.00034595,0.00021958
2.2339,4.6315,0.00012358,7.72E-05,3.61E-05,0.0012517
1.5317,0.3409,0.0043769,6.99E-06,0.00015392,9.21E-05
2.5425,2.9055,0.00043215,3.86E-05,0.00017133,0.0012904
2.5539,3.1858,0.00034595,4.63E-05,0.00013794,0.0016075
4.0881,3.2563,0.00011791,1.11E-05,0.00021188,0.0088589
3.9742,4.3231,5.89E-05,1.33E-05,7.65E-05,0.048045
3.2216,0.27976,0.00050786,3.39E-06,0.0010365,0.00019233
1.893,4.0843,0.00022163,0.00019858,4.76E-05,0.00098501
4.0579,2.6446,0.00016812,9.24E-06,0.00043403,0.0025995
2.6641,3.4718,0.00026148,4.78E-05,0.00011617,0.0022338
1.7536,1.062,0.0058316,1.26E-05,0.00021436,0.00019566
4.695,2.7164,9.54E-05,5.53E-06,0.0003237,0.0021274
4.3797,3.5126,7.92E-05,9.05E-06,0.00015794,0.012414
2.7508,4.7822,8.66E-05,3.82E-05,3.94E-05,0.0020698
3.1124,2.2227,0.00044318,1.54E-05,0.00049314,0.0010815
2.9352,0.42699,0.00071704,4.58E-06,0.00080215,0.00020295
1.0387,0.2867,0.0065532,6.95E-06,9.68E-05,5.73E-05
1.5062,3.1473,0.00058749,0.00015443,7.21E-05,0.00055839
2.3546,3.9809,0.00020406,8.45E-05,6.63E-05,0.0017179
1.1524,3.456,0.00045849,0.00050072,4.59E-05,0.00044314
4.2215,1.7265,0.00020582,5.06E-06,0.0021427,0.00081456
0.97382,4.7341,0.00014145,0.00029913,1.28E-05,0.00036105
1.1296,2.601,0.001213,7.80E-05,7.40E-05,0.0003239
0.85354,4.7691,0.00013651,0.00026059,1.06E-05,0.00032184
1.1383,0.36798,0.0079302,7.47E-06,0.00010807,6.90E-05
2.1785,1.0352,0.0023422,1.07E-05,0.0003469,0.0002442
1.5555,3.8751,0.00029067,0.00049562,4.54E-05,0.00069077
4.6169,4.5709,2.18E-05,7.22E-06,5.73E-05,0.0066155
2.151,3.9128,0.00023451,0.00011804,6.30E-05,0.0013243
0.92408,1.4777,0.01434,2.08E-05,9.20E-05,0.00014755
4.5244,0.75923,0.00016975,1.80E-06,0.0036831,0.00031242
4.8987,4.2396,2.27E-05,5.79E-06,7.20E-05,0.0056191
2.1943,3.9243,0.00022836,0.00010953,6.39E-05,0.001397
0.5556,1.3542,0.0098483,1.77E-05,6.70E-05,9.91E-05
1.2903,1.1391,0.031519,1.48E-05,0.00013449,0.00015272
2.0436,1.6051,0.0021304,1.83E-05,0.00026038,0.00034587
2.9745,4.1478,0.00013227,3.69E-05,7.49E-05,0.0045462
1.3111,4.1109,0.00024458,0.0014637,3.19E-05,0.00054472
3.0142,2.8534,0.00032557,2.43E-05,0.00023973,0.0019389
3.5561,2.8591,0.00022017,1.53E-05,0.00030715,0.0031367
1.1087,1.4301,0.016929,1.98E-05,0.00010969,0.00016451
0.58709,3.4957,0.00042545,0.00036006,2.83E-05,0.00026863
1.4834,3.9813,0.00026801,0.00069615,3.99E-05,0.00064551
1.5939,2.2079,0.0017041,4.01E-05,0.00013061,0.00037843
2.1208,2.2311,0.0010543,3.07E-05,0.00020218,0.00056284
2.5393,2.3283,0.00067379,2.50E-05,0.00027083,0.00081603
0.42758,1.3952,0.0065671,1.79E-05,5.93E-05,9.06E-05
1.3124,3.3769,0.00048664,0.00032004,5.43E-05,0.00050317
4.0051,4.5183,4.76E-05,1.26E-05,6.40E-05,0.018723
0.1461,4.5426,0.0001504,0.00014776,4.45E-06,0.00017797
4.6443,3.736,5.27E-05,7.32E-06,0.00012073,0.0099997
3.6517,1.3026,0.00037337,5.86E-06,0.0056502,0.00052761
2.443,3.4482,0.00029976,6.20E-05,0.00010547,0.0016592
2.8926,0.65915,0.00080982,5.70E-06,0.00089791,0.00024532
1.1864,0.6175,0.017981,9.34E-06,0.00011875,9.22E-05
2.2942,0.95451,0.0019236,9.57E-06,0.00040096,0.00024325
4.8154,0.72866,0.00012972,1.18E-06,0.0016602,0.00028491
2.734,2.9252,0.00037531,3.26E-05,0.00019019,0.0015813
2.6057,0.36681,0.0010067,5.11E-06,0.00048912,0.00017062
1.158,4.1116,0.00024761,0.0041564,2.84E-05,0.00047146
2.4445,3.6145,0.00026264,6.74E-05,9.27E-05,0.0017933
3.1203,4.6293,8.16E-05,2.80E-05,5.11E-05,0.0039564
3.3957,2.4632,0.00030914,1.43E-05,0.00045714,0.001653
1.9776,3.2744,0.00043489,9.99E-05,9.10E-05,0.00091663
1.8372,4.4506,0.00016382,0.00016919,3.40E-05,0.00087371
4.9399,2.6926,7.68E-05,4.37E-06,0.0002882,0.0016997
0.18869,1.411,0.0038492,1.69E-05,4.74E-05,7.17E-05
4.4258,4.8798,1.74E-05,7.98E-06,4.43E-05,0.0049609
4.5664,0.18213,0.00014861,7.18E-07,0.0011913,0.0001834
3.9809,1.6312,0.00026008,5.75E-06,0.0031776,0.00074859
0.49356,4.8651,0.00012046,0.00015113,4.73E-06,0.00022841
1.3094,1.8252,0.0041605,2.89E-05,0.00011921,0.0002452
1.6768,1.5457,0.0041476,2.00E-05,0.00018288,0.00026349
3.3986,0.60456,0.00046914,4.06E-06,0.0023168,0.00026815
0.68277,4.5788,0.0001605,0.00035606,1.11E-05,0.00028884
3.6061,0.67739,0.00038874,3.75E-06,0.0046384,0.00029624
0.53381,1.6606,0.0048304,2.36E-05,6.25E-05,0.0001203
3.2688,4.4874,8.45E-05,2.52E-05,6.03E-05,0.006089
2.4709,2.4982,0.00062463,3.01E-05,0.0002243,0.00088578
3.8953,3.0764,0.0001516,1.25E-05,0.00025699,0.0056975
3.5752,2.9157,0.00021021,1.54E-05,0.00028994,0.0034812
4.5186,3.4913,7.12E-05,7.97E-06,0.00015652,0.0089063
4.4546,0.14666,0.00016256,8.29E-07,0.0012775,0.00018047
1.6708,2.6394,0.0009491,6.37E-05,0.00011037,0.00051091
3.4937,0.16036,0.00037774,2.50E-06,0.0012345,0.00018145
0.98905,4.1357,0.00024336,0.0088344,2.43E-05,0.00040276
0.1527,1.6999,0.002556,2.17E-05,4.36E-05,8.57E-05
3.7204,4.2336,7.75E-05,1.70E-05,8.19E-05,0.035935
2.5001,1.2303,0.001365,1.09E-05,0.00051449,0.00033493
2.3996,2.9075,0.00047308,4.43E-05,0.00015577,0.0011278
4.5236,4.6884,2.09E-05,7.67E-06,5.23E-05,0.0062631
3.0493,0.23894,0.00059068,3.62E-06,0.00077836,0.00017707
3.0883,0.26989,0.00057589,3.65E-06,0.00084958,0.0001842
4.2972,0.10309,0.00018424,9.95E-07,0.0013668,0.00017629
4.0274,3.4074,0.0001125,1.21E-05,0.00018168,0.01425
2.8836,2.9931,0.00032386,2.96E-05,0.00019571,0.0019619
0.91461,0.57015,0.017434,8.99E-06,9.19E-05,6.95E-05
1.1997,3.9812,0.00027799,0.0040672,3.26E-05,0.00049147
4.4326,3.0893,9.85E-05,7.87E-06,0.00023947,0.0046569
0.14337,0.35107,0.0026836,6.59E-06,4.36E-05,1.44E-05
2.4495,0.34639,0.0011972,5.37E-06,0.00039971,0.00015675
0.83964,0.68004,0.025427,9.89E-06,8.71E-05,7.23E-05
4.8934,3.9445,3.27E-05,5.87E-06,9.33E-05,0.0061691
3.5635,0.46199,0.00038816,3.20E-06,0.002487,0.00024236
2.5024,1.1893,0.0013743,1.06E-05,0.00052129,0.00032454
2.3554,1.2182,0.0016899,1.16E-05,0.00042461,0.00030866
0.29809,0.52411,0.0043878,7.98E-06,5.20E-05,3.02E-05
3.4099,4.2918,9.12E-05,2.28E-05,7.42E-05,0.011112
0.21216,3.491,0.00038566,0.0001726,1.97E-05,0.00019044
0.35723,3.6687,0.00034303,0.00029666,1.99E-05,0.00022302
2.6082,3.2527,0.00031846,4.54E-05,0.0001348,0.0017944
0.48365,2.5814,0.0011,6.53E-05,4.37E-05,0.00018732
4.0907,1.6319,0.00023598,5.29E-06,0.0030935,0.00074755
4.0877,3.3089,0.00011424,1.13E-05,0.00020058,0.010255
3.6122,0.58783,0.00038084,3.46E-06,0.003739,0.00027344
0.74933,0.73909,0.024377,1.04E-05,8.08E-05,7.03E-05
3.298,0.098823,0.00044007,2.70E-06,0.00089064,0.00016509
2.593,4.8215,9.00E-05,4.41E-05,3.57E-05,0.0016709
4.8649,4.8519,5.33E-06,5.41E-06,4.17E-05,0.0030898
3.245,0.6193,0.00054883,4.52E-06,0.0016868,0.0002627
4.0017,2.3371,0.00020214,8.40E-06,0.00067816,0.0016789
2.269,3.2835,0.00037469,6.90E-05,0.00010824,0.0012467
2.162,1.4509,0.0020258,1.53E-05,0.00031388,0.00033161
4.1266,3.7727,8.14E-05,1.17E-05,0.00012678,0.071605
0.41735,2.7906,0.00083617,8.28E-05,3.73E-05,0.00019156
0.66586,2.139,0.0022672,4.06E-05,6.13E-05,0.00017782
0.86694,1.336,0.025195,1.81E-05,8.92E-05,0.00012784
1.9547,3.7687,0.00028489,0.00016295,6.29E-05,0.0010382
4.1569,4.4919,4.24E-05,1.10E-05,6.53E-05,0.018486
4.0168,3.6422,9.71E-05,1.28E-05,0.00014409,0.039361
0.30236,2.0342,0.0019731,3.19E-05,4.59E-05,0.00012224
1.9963,4.6916,0.00012659,0.00010097,3.00E-05,0.00094766
2.6344,1.2771,0.0011262,1.06E-05,0.00061503,0.00037063
2.084,2.6658,0.00071644,4.75E-05,0.00014818,0.0007279
3.2843,4.7738,6.44E-05,2.26E-05,4.65E-05,0.0041507
3.1399,1.3387,0.00061753,8.35E-06,0.0014202,0.00047969
1.4599,1.2504,0.011778,1.60E-05,0.0001568,0.00018609
2.1583,4.6384,0.00012611,8.50E-05,3.45E-05,0.0011488
0.077436,0.34291,0.0024104,6.43E-06,4.09E-05,1.10E-05
4.9203,1.497,0.00011452,2.27E-06,0.0010852,0.00053989
0.83584,2.9579,0.0007766,0.00014166,4.86E-05,0.00029197
0.53108,1.0165,0.015331,1.29E-05,6.69E-05,7.34E-05
1.862,3.1794,0.00049911,0.0001043,9.01E-05,0.00078593
0.99059,3.9919,0.0002774,1,2.75E-05,0.00040475
2.4484,2.5085,0.00063044,3.08E-05,0.00021867,0.00087722
1.6975,3.2541,0.00049638,0.00014346,7.68E-05,0.00069252
4.7582,3.9798,3.74E-05,6.67E-06,9.41E-05,0.0086614
4.6017,1.1669,0.00015902,2.44E-06,0.0031991,0.0004432
0.26338,3.0042,0.00062434,9.64E-05,2.87E-05,0.00017875
3.6893,0.56231,0.00035267,3.20E-06,0.0041856,0.00026957
1.3456,2.5788,0.0011849,7.08E-05,8.88E-05,0.00038144
2.1142,4.1892,0.00018856,0.00012268,4.96E-05,0.0012533
2.7394,4.604,0.00010226,4.23E-05,4.62E-05,0.0023473
4.7137,2.4911,0.00010386,4.96E-06,0.00041303,0.0016009
2.0887,1.3881,0.0023805,1.49E-05,0.00029452,0.00030355
4.9153,3.2626,5.66E-05,5.30E-06,0.00016948,0.0033151
1.5073,4.5865,0.00015552,0.00025268,2.41E-05,0.00060874
3.5055,2.5492,0.00027115,1.38E-05,0.00043569,0.0019551
3.3317,4.871,5.66E-05,2.09E-05,4.29E-05,0.0038275
2.6956,0.98639,0.0010797,8.19E-06,0.00071449,0.00030018
3.4905,0.55592,0.00042485,3.66E-06,0.002612,0.00026097
3.3326,1.4868,0.00049038,8.21E-06,0.0017429,0.00058356
0.89066,1.9821,0.0033679,3.52E-05,7.86E-05,0.00019599
0.64007,2.1038,0.0023662,3.87E-05,6.07E-05,0.00017084
4.9954,1.5574,0.00010559,2.19E-06,0.00090439,0.00055246
0.85561,3.4692,0.00045278,0.00052896,3.62E-05,0.00034016
0.163,0.45936,0.0031559,7.29E-06,4.53E-05,2.02E-05
2.806,2.0104,0.00065758,1.65E-05,0.00045557,0.00074404
4.4093,1.4759,0.00018319,3.69E-06,0.0030348,0.00061563
3.3459,1.5325,0.00047832,8.40E-06,0.001665,0.00061139
0.95217,0.52781,0.014948,8.66E-06,9.44E-05,6.89E-05
1.8446,2.9691,0.00061489,8.24E-05,0.0001023,0.00070138
2.3036,1.4136,0.0016781,1.39E-05,0.00037576,0.00034902
4.9082,0.77611,0.00011932,1.09E-06,0.0014077,0.00028932
0.78202,0.0032933,0.0031278,5.28E-06,7.12E-05,2.68E-05
4.2776,1.418,0.00020781,3.96E-06,0.0048067,0.0005947
3.2238,2.7541,0.00029836,1.92E-05,0.00029774,0.0020883
1.8814,4.3545,0.00017607,0.00017169,3.79E-05,0.00093673
0.95462,0.21127,0.0053385,6.48E-06,8.81E-05,4.76E-05
2.1413,4.5236,0.00014031,9.56E-05,3.79E-05,0.0011823
2.4101,0.65487,0.0014893,7.12E-06,0.00044001,0.00020129
0.60306,4.1686,0.00022973,0.00085016,1.64E-05,0.00028291
2.9475,4.0023,0.00015026,3.83E-05,8.41E-05,0.0044239
1.1309,4.5894,0.00016107,0.00044031,1.77E-05,0.00043028
1.9231,0.68652,0.0033938,8.69E-06,0.0002496,0.00016075
2.9149,2.5237,0.0004343,2.16E-05,0.00030816,0.0012764
1.259,2.0248,0.0028976,3.62E-05,0.00010627,0.000266
1.4522,0.86786,0.014941,1.14E-05,0.00015732,0.00013872
3.0855,2.8759,0.00030522,2.31E-05,0.00024413,0.0021272
1.3264,3.0311,0.00069596,0.00014858,6.80E-05,0.00045641
4.1219,1.0722,0.0002462,3.50E-06,0.061029,0.00043515
4.9133,2.5997,8.23E-05,4.32E-06,0.00032211,0.0015713
3.6512,4.9459,4.06E-05,1.53E-05,4.19E-05,0.0047086
1.7194,2.4496,0.001147,4.93E-05,0.00012765,0.00047829
2.9203,3.4744,0.00022547,3.58E-05,0.00013073,0.0032336
0.53885,2.0571,0.0023712,3.57E-05,5.64E-05,0.00015291
4.5315,0.17388,0.00015297,7.57E-07,0.0012263,0.00018304
4.3983,1.4642,0.00018534,3.69E-06,0.0031991,0.00061
4.0888,4.0072,7.01E-05,1.23E-05,0.00010203,0.63781
1.3036,1.7325,0.0051415,2.63E-05,0.00012209,0.00023061
2.9718,0.41658,0.00068704,4.45E-06,0.00083896,0.0002034
0.11256,2.5555,0.00091151,4.95E-05,3.14E-05,0.00013205
